id,state,TMed13,TMed14,TMed15,TMed16,TMed17,TMed18,TMed19,TMed20,TMed21,TMed22,TMed23,TMedTotal
21,Puebla,17.18901424963925,18.76799579124579,18.70377777777778,18.73641975308642,18.87177328843996,17.954939467853972,18.98371401667584,19.09521587033604,18.4058384262796,18.589786587681328,18.720113889767678,18.54714446534397
22,QuerÃ©taro,19.03088383838384,19.86977272727273,20.12549062049062,19.971130536130534,20.158236208236207,20.343497314530843,21.665247329092107,20.66852109602273,20.348853383458646,20.033825618825617,20.951972214035987,20.287948262407255
23,Quintana Roo,26.534618406285077,27.608703703703704,27.72813852813853,29.0625,28.660000000000004,27.38973853526859,29.08647037189473,27.88974362036364,27.44570707070707,27.17380602562421,27.550076219904383,27.829954771080907
24,San Luis PotosÃ­,20.92439311144229,23.149266666666666,23.49107808857809,23.109375,24.58522222222222,22.14914216569852,25.309667782121625,23.881056364676407,23.39303844900619,22.790398098633396,23.402154825150248,23.28952661583597
25,Sinaloa,24.730511201761203,26.671694855532063,26.60694684944685,26.718583394924856,26.84509238728751,25.40747411966292,26.995314525727043,26.147628985068703,25.61452197040432,26.04358677316424,25.82036960274002,26.14561133324725
26,Sonora,20.97306712962963,23.929165635951357,23.50492424242424,23.70375344352617,24.21206802063185,22.02658883763935,22.09700589172829,23.08072385147983,23.29581684188827,23.510679408062387,21.648080148757224,22.907443041065324
27,Tabasco,26.427225142582284,27.11447163947164,27.38175925925926,27.496497326203208,27.37575757575757,26.300141487602183,28.30297918680357,27.875901707102518,27.481924828643574,27.416756927879376,27.23923526137034,27.31024094024323
28,Tamaulipas,22.122612142934724,23.8122463768116,24.01930367504836,25.150658761528327,25.498662153449388,24.04742107325653,26.14813504294292,25.16068499448772,24.76719242517944,24.76934061468544,23.951036520640137,24.495208525542235
29,Tlaxcala,14.495218855218852,15.66111111111111,15.564225589225588,15.483636363636364,14.589727272727274,15.40893087199495,16.363118988613493,15.331649724568182,15.25719696969697,14.938344988344989,15.43740440111111,15.320960466931718
30,Veracruz de Ignacio de la Llave,22.206141287084684,23.15658992522629,23.57167224189952,23.632073474470733,23.68637329174094,23.20733212496758,24.46940998857713,23.811378216054877,23.851468524531025,23.31375857288779,22.92684072378025,23.43936712465644
31,YucatÃ¡n,26.11994141414141,26.714765993265992,27.72042748917749,27.456537598204267,27.15,26.584697261176853,27.77662492681933,27.198637114381317,26.90582945860724,27.019142215808884,27.42741355684021,27.097637911674816
32,Zacatecas,16.96467007739735,18.234986363636363,18.306991483462077,18.344149659863945,18.7733451536643,17.654424490177863,19.149202521191903,18.07533224546536,18.108173601090268,18.580964361427323,18.848487346355967,18.27642975488479
33,Total,20.313505,21.829234,22.003057,22.093799,22.139928,21.09253,22.439414,21.586638,21.408336,21.626647,21.298477,21.621051
