LON,LAT,ESTADO,CVE_SIH,NOMBRE_ESTACION,SEP
-99.11,19.41,DF,CDVDF,CIUDAD DEPORTIVA,201.7
-99.18,19.5,DF,CEADF,CAMPAMENTO AMEALCO,235.7
-99.21,19.16,DF,CFSDF,CASETA FORESTAL,170.2
-99.14,19.47,DF,CMTDF,CIEN METROS,176.8
-99.18,19.49,DF,CMYDF,CAMPO MECOAYA,273.6
-99.09,19.19,DF,CTNDF,CUAUTENCO,113.7
-99.09,19.48,DF,CYLDF,COYOL,118.7
-99.21,19.3,DF,DATDF,DESVIACION ALTA                     *,228
-99.13,19.43,DF,DDFDF,GOBIERNO DEL D. F.,185.9
-99.31,19.31,DF,DTLDF,DESIERTO DE LOS LEONES,332.5
-99.15,19.38,DF,DVLDF,DEL VALLE,101.8
-99.16,19.3,DF,EAZDF,ESTADIO AZTECA,90.5
-99.29,19.36,DF,EYQDF,EL YAQUI,114.4
-99.35,19.3,DF,EZCDF,EL ZARCO,252.5
-99.07,19.49,DF,GCNDF,KM. 6+250 (GRAN CANAL),205.9
-99.26,19.31,DF,HYTDF,HUAYATLA,274.7
-99.3,19.34,DF,LVNDF,LA VENTA,364.1
-99.28,19.22,DF,MAGDF,MONTE ALEGRE,292.6
-99.13,19.4,DF,MCRDF,M. CARRILLO,197.1
-99.03,19.19,DF,MLPDF,MILPA ALTA,71.3
-99.23,19.19,DF,MZTDF,P ABASOLO(MEZONTEPEC),203.6
-99.1,19.32,DF,OCSDF,OFICINA CAVM SUR,208
-99.1,19.38,DF,PBADF,P. B. ACULCO,175.3
-99.06,19.43,DF,PBCDF,P. B. CHURUBUSCO L(CH.LAGO),89.2
-99.12,19.49,DF,PBLDF,P. B. LINDAVISTA,119.2
-99.04,19.38,DF,PBODF,P. B. U. E. DE ORIENTE,123.8
-99.17,19.44,DF,PBTDF,P. B. TIZOC,234
-99.2,19.41,DF,PCHDF,PTA. CHAPULTEPEC,280.2
-99.1,19.46,DF,PGNDF,PLANTA GENERADORA 101,171.6
-99.08,19.34,DF,PLEDF,P. T. LA ESTRELLA,201.6
-99.07,19.42,DF,PLMDF,P. B. LOPEZ MATEOS,118.2
-99.13,19.37,DF,PMLDF,P. B. MUNICIPIO LIBRE,171.7
-99.09,19.25,DF,PNTDF,PLANTA NATIVITAS,238.6
-99.26,19.29,DF,PRMDF,P. T. RIO MAGDALENA,304.5
-99.15,19.51,DF,PRRDF,P. T. RIO REMEDIOS,206
-99.02,19.3,DF,PSCDF,P. T. SANTA CATARINA,188.4
-99.05,19.23,DF,PSLDF,PLANTA SAN LUIS,72.5
-99.16,19.47,DF,PSNDF,P. B. NUEVA SANTA MARIA,254.3
-99.17,19.26,DF,PSPDF,"P. SAN PEDRO MARTIR, DF",159.6
-99.19,19.51,DF,PTRDF,P. T. ROSARIO,356.2
-99.13,19.29,DF,PVCDF,P. B. VILLA COAPA,147.3
-99.14,19.33,DF,PXTDF,PLANTA XOTEPINGO,199.8
-99.19,19.3,DF,RBTDF,REBOMBEO BOSQUE TLALPAN(B TLALPAN),191.4
-99.17,19.4,DF,RCMDF,RADIO COMUNICACION,204.1
-99,19.17,DF,SANDF,SANTA ANA,56.7
-99.28,19.33,DF,SBADF,SAN BARTOLO AMEYALCO,343.2
-99.03,19.34,DF,SCMDF,SANTA CRUZ MEYEHUALCO,233.2
-99.12,19.58,DF,SGDDF,SIERRA GUADALUPE,140.5
-99.07,19.47,DF,SJADF,SAN JUAN DE ARAGON,111.8
-99.01,19.28,DF,SPPDF,SAN PEDRO TLAHUAC,133.5
-98.96,19.32,DF,SSCDF,S. ELEC. SANTA CATARINA(LA CALERA),151.3
-99.14,19.56,DF,TCMDF,TANQUE CHALMITA,250.2
-99.27,19.37,DF,TECDF,TANQUE EL CARTERO,278.8
-99.25,19.33,DF,TELDF,TANQUE EL LIENZO,132.7
-99.21,19.4,DF,TNGDF,TRIANGULO,247.9
