LON,LAT,ESTADO,CVE_SIH,NOMBRE_ESTACION,DIC
-93.13,16.75,CHIS,TXOCP,TUXTLA GTZ. OBSERVATORIO,3.8
-93.27,16.23,CHIS,VIFCP,VILLA FLORES,25
-93.33,17.12,CHIS,YAMCP,YAMANHO,362.7
-100.84,28.34,COAH,ADLCL,ALLENDE,20
-101.06,29.44,COAH,AMSCL,PRESA AMISTAD,11
-100.45,25.52,COAH,ARACL,RAMOS ARIZPE,37.3
-100.93,25.55,COAH,ARACL,RAMOS ARIZPE AEROPUERTO,37.3
-102.1,27,COAH,CCGCL,CUATRO CIENEGAS                     *,12.4
-100.95,29.33,COAH,CDACL,CIUDAD ACUÒA,7
-100.65,26.84,COAH,CDLCL,CANDELA,20.5
-100.94,29.21,COAH,CNTCL,PRESA EL CENTENARIO,16
-103.47,25.54,COAH,CYTCL,COYOTE,8.7
-100.9,25.43,COAH,ESLCL,E. C. SALTILLO,72.1
-100.82,28.82,COAH,LFGCL,LA FRAGUA,6.2
-103.2,25.6,COAH,MATCL,MATAMOROS SL,4
-101.42,26.91,COAH,MCVCL,MONCLOVA,5.8
-101.51,27.88,COAH,MZQCL,MUZQUIZ,8
-102.4,27.32,COAH,OCMCL,OCAMPO,4
-102.18,25.44,COAH,PARCL,PARRAS,12.5
-100.52,28.67,COAH,PNGCL,PIEDRAS NEGRAS,22.4
-101,25.46,COAH,PRSCL,PROGRESO,26.5
-100.57,25.27,COAH,SAACL,SAN ANTONIO DE LAS ALAZANAS,32
-101.01,25.42,COAH,SALCL,SALTILLO (BELLAVISTA),59.5
-101.12,27.84,COAH,SBNCL,SABINAS,11.5
-100.95,29.04,COAH,SMGCL,PRESA SAN MIGUEL,17
-103.7,27.29,COAH,SMJCL,SIERRA MOJADA,2.5
-102.98,25.76,COAH,SPECL,SAN PEDRO,5.2
-101.02,25.38,COAH,STOCL,SALTILLO,26
-103.45,25.54,COAH,TORCL,TORREON OBSERVATORIO,10.6
-100.73,27.5,COAH,VCRCL,PRESA VENUSTIANO CARRANZA,12
-101.9,29,COAH,ZPTCL,ZAPATA,16.4
-103.61,19.25,COL,BVSCM,BUENA VISTA,37
-103.72,18.75,COL,CDOCM,CERRO DE ORTEGA,30.1
-103.71,19.3,COL,CHNCM,EL CHANAL,61.4
-103.63,18.81,COL,CLLCM,CALLEJONES,30
-103.76,19.32,COL,CMLCM,COMALA,54.1
-103.8,19.21,COL,CQMCM,COQUIMATLAN,36.3
-103.6,19.33,COL,CUACM,CUAHTEMOC,75
-103.88,19.11,COL,DJLCM,DERIVADORA JALA,39.5
-103.87,19.17,COL,LAECM,LA ESPERANZA,7
-103.87,18.9,COL,LDACM,LAGUNA DE AMELA,30
-103.73,19.22,COL,LPSCM,LA POSTA,42.7
-104.32,19.04,COL,MNZCM,MANZANILLO,71.1
-103.82,19.27,COL,PNTCM,PEÒITAS,63.2
-103.73,19.22,COL,RDRCM,RADAR,40.2
-103.7,19.41,COL,SCHCM,SUCHITLAN,38.3
-103.88,18.93,COL,TCMCM,TECOMAN,8.5
-103.52,19.25,COL,TRJCM,TROJES,23
-103.66,19.28,COL,TRPCM,TRAPICHE,58
-99.21,19.22,DF,AJSDF,AJUSCO,15
-99.17,19.45,DF,CBIDF,"ESCUELA NACIONAL DE CIENCIAS BIOLOGICAS, IPN (AUTOMATICA)",13.7
-99.18,19.35,DF,CCUDF,CENTRO UNIVERSITARIO,0
-99,19.36,DF,CDMDF,CARCEL DE MUJERES,1
-99.11,19.41,DF,CDVDF,CIUDAD DEPORTIVA,1.8
-99.18,19.5,DF,CEADF,CAMPAMENTO AMEALCO,0
-99.21,19.16,DF,CFSDF,CASETA FORESTAL,0
-99.14,19.47,DF,CMTDF,CIEN METROS,3.3
-99.18,19.49,DF,CMYDF,CAMPO MECOAYA,12.9
-99.09,19.19,DF,CTNDF,CUAUTENCO,0
-99.09,19.48,DF,CYLDF,COYOL,0
