LON,   LAT,   ESTADO,     CVE_SIH,NOMBRE_ESTACION,ENE
-104.07,25.26,DGO,AM2DR,"AGUSTIN MELGAR, (AUTOMATICA)",1.5
-104.48,26.24,DGO,APRDR,AGUA PUERCA,0
-104.7,24,DGO,CAGDR,CAMPO AGRICOLA,1
-104.8,24.52,DGO,CB2DR,CABORACA (HIDRO),7.8
-104.8,24.52,DGO,CBRDR,P. CABORACA,7.9
-104.07,26.3,DGO,CEBDR,CEVALLOS,1.5
-104.12,24.44,DGO,CGVDR,CIUDAD GUADALUPE VICTORIA,3
-103.52,25.53,DGO,CLRDR,CIUDAD LERDO,0
-103.7,24.87,DGO,CNCDR,CUENCAME,0
-104.75,24.5,DGO,CNTDR,CANATLAN,2.1
-104.67,24.03,DGO,DRGDR,DURANGO,1.1
-103.96,24,DGO,FV2DR,FRANCISCO VILLA (HIDRO),0
-103.96,24,DGO,FVLDR,PRESA FRANCISCO VILLA,0.3
-103.78,25.27,DGO,FZRDR,PRESA FRANCISCO ZARCO,1
-105.25,25.5,DGO,GESDR,GENERAL ESCOBEDO,3
-105.96,25.93,DGO,GNCDR,GUANACEVI,4
-104.75,23.96,DGO,GVCDR,PRESA GUADALUPE VICTORIA,0.9
-104.75,23.96,DGO,GVHDR,GUADALUPE VICTORIA,0.5
-105,25.61,DGO,LCRDR,PRESA LAZARO CARDENAS,0
-103.28,25.06,DGO,LFLDR,LA FLOR,0
-103.31,24.63,DGO,LNRDR,PRESA LOS NARANJOS,0
-105.47,24.19,DGO,LVEDR,"LAS VEGAS, (AUTOMATICA)",8
-103.85,25.82,DGO,MPMDR,MAPIMI,0
-104.11,25.23,DGO,NZSDR,NAZAS,0
-104.66,24.24,DGO,PA2DR,PE—A DEL AGUILA (HIDRO),0
-104.66,24.24,DGO,PAGDR,PRESA PEÒA DEL AGUILA,0.2
-106.37,26.13,DGO,ROSDR,LA ROSILLA,17
-105.44,25.23,DGO,SACDR,SALOME ACOSTA,0
-104.67,23.87,DGO,SB2DR,SANTIAGO BAYACORA (HIDRO),0
-104.9,23.8,DGO,SBBDR,SANTA BARBARA,10.6
-104.67,23.87,DGO,SBYDR,P. SANTIAGO BAYACORA,0
-104.05,23.62,DGO,SELDR,PRESA SANTA ELENA,6.2
-105.55,26.42,DGO,SGBDR,SAN GABRIEL,3.6
-106.13,24.44,DGO,SJRDR,SAN JOSE DE REYES,1
-105.37,25.95,DGO,SMODR,SANTA MARIA DEL ORO,5
-105.42,25.04,DGO,SPPDR,SANTIAGO PAPASQUIARO,0
-105.57,26.08,DGO,SRDDR,SARDINAS,1
-106,24.5,DGO,TDRDR,EL TULE DEL REAL,0.5
-103.44,26.11,DGO,THODR,TLAHUALILO,0
-105.73,25.34,DGO,TLHDR,TEPEHUANES,2
-106.98,24.93,DGO,TMZDR,TAMAZULA,0
-104.5,26.1,DGO,VHGDR,P. VILLA HIDALGO,3.5
-105.5,26.44,DGO,VOCDR,VILLA OCAMPO,4.5
-99.91,16.85,GRO,ACAGR,ACAPULCO,6.7
-99.75,16.76,GRO,ACUGR,"ACAPULCO, (AUTOMATICA)",3
-99.5,17.5,GRO,AERGR,AEROPUERTO,5.2
-100.5,18.08,GRO,AFIGR,ANDRES FIGUEROA,2
-98.98,17.72,GRO,AHUGR,AHUACUOTZINGO,17.9
-100.48,18.12,GRO,AJCGR,AJUCHITLAN,1
-100.43,17.21,GRO,ATYGR,ATOYAC,11.7
-99.1,16.95,GRO,AYUGR,AYUTLA,0
-99.2,18.2,GRO,BVSGR,BUENA VISTA,0
-100.66,18.35,GRO,CA2GR,"CD. ALTAMIRANO, (AUTOMATICA)",0
-100.66,18.36,GRO,CALGR,CIUDAD ALTAMIRANO,1.5
-99.7,17.67,GRO,CCHGR,CHICHIHUALCO,4.5
-100.63,18.33,GRO,CDBGR,COYUCA DE BENITEZ,15
-99.5,17.55,GRO,CHIGR,CHILPANCINGO,2.8
-99.18,17.61,GRO,CHLGR,CHILAPA,2.5
-98.41,16.47,GRO,CNLGR,CUAJINICUILAPA,0.1
-99.66,18.25,GRO,COCGR,COCULA,0.1
-98.97,16.61,GRO,COPGR,COPALA,0
-101.05,17.38,GRO,CYQGR,COYUQUILLA,0
-99.72,17.32,GRO,ECAGR,EL CARACOL,1.5
-100.68,18.52,GRO,EGLGR,P. EL GALLO,5.5
-99.52,17.23,GRO,EOCGR,EL OCOTITO,6
-99.55,18.35,GRO,IGLGR,IGUALA,0.2
-101,18.45,GRO,LCLGR,LA CALERA,4
-100.02,16.96,GRO,LDCGR,LAGUNA DE COYUCA,10
-99.24,16.76,GRO,LDGGR,LAS VIGAS,0
-99.37,17.47,GRO,MCHGR,MOCHITLAN,3.1
-99.8,16.8,GRO,ODAGR,OBSERVATORIO DE ACAPULCO,2.4
-99.5,17.6,GRO,ODZGR,OBSERVATORIO DE ZUMPANGO,3.5
-98.74,17.78,GRO,OLNGR,OLINALA,1.5
-98.43,16.68,GRO,OMEGR,OMETEPEC,1
-99.43,17.5,GRO,PETGR,PETAQUILLAS,2.6
-98.51,16.66,GRO,QTZGR,QUETZALA,0
-99.2,16.8,GRO,RMEGR,REVOLUCION MEXICANA,0
-100.47,17.14,GRO,SJEGR,SAN JERONIMO,9.5
-99.61,18.55,GRO,TAXGR,TAXCO,8.8
-99.53,17.17,GRO,TCOGR,TIERRA COLORADA,0
-100.63,17.26,GRO,TECGR,TECPAN DE GALEANA,22.8
-99.98,17.79,GRO,TLAGR,TLACOTEPEC,6.9
-98.6,17.5,GRO,TLPGR,TLAPA,0
-99.4,17.57,GRO,TXTGR,TIXTLA,0
-100.27,18.39,GRO,VGRGR,P. VICENTE GUERRERO,6.6
-99.5,18.42,GRO,VTRGR,PRESA VALERIO TRUJANO,6.8
-98.49,17.9,GRO,XXHGR,XOCHIHUEHUETLAN,1
-101.55,17.65,GRO,ZHTGR,ZIHUATANEJO,30.2
-101.52,20.43,GTO,ABSGJ,ABASOLO,3.7
-100.72,20.03,GTO,ACNGJ,ACAMBARO,3
-100.68,20.53,GTO,AEGGJ,APASEO EL GRANDE,5.5
-100.58,20.55,GTO,AMCGJ,AMECHE,0
-101.37,20.71,GTO,ANSGJ,ARANDAS,4.7
-100.62,20.45,GTO,APSGJ,APASEO EL ALTO,0
-101.63,20.5,GTO,ATBGJ,AGUA TIBIA,6.5
-100.83,20.85,GTO,BEGGJ,LA BEGO—A (HIDROM. IGNACIO ALLENDE),13.8
-101.83,21.05,GTO,BRRGJ,PRESA EL BARRIAL,20.9
-100.9,20.28,GTO,CBOGJ,"EL CUBO, (AUTOMATICA)",4.2
-100.82,20.53,GTO,CLYGJ,CELAYA,10
-101.47,21.07,GTO,COMGJ,COMANJILLA,9
-100.36,20.2,GTO,CORGJ,CORONEO,11.5
-101.67,20.62,GTO,CRMGJ,CUERAMARO,6.4
-100.95,20.48,GTO,CRTGJ,CORTAZAR,10.7
-100.9,20.95,GTO,CSRGJ,CINCO SEÒORES,8.4
-101.67,21.19,GTO,CSSGJ,LOS CASTILLOS(CANALES),24.7
-101.67,21.2,GTO,CSTGJ,LOS CASTILLOS,33.2
-100.93,21.15,GTO,DHGGJ,DOLORES HIDALGO,6
-100.5,20.2,GTO,ECBGJ,EL CUBO,4
-101.2,20.9,GTO,ECHGJ,EL CHAPIN,10
-101.37,20.73,GTO,ECNGJ,PRESA EL CONEJO,7.2
-101.67,21.17,GTO,EPLGJ,EL PALOTE,26.1
-101.75,20.43,GTO,GLNGJ,PRESA LA GOLONDRINA,6
-101.27,21.01,GTO,GTOGJ,GUANAJUATO,15.7
-100.82,20.83,GTO,IALGJ,IGNACIO ALLENDE,13.7
-101.35,20.68,GTO,IRPGJ,IRAPUATO,6.5
-100.52,20.13,GTO,JCRGJ,JERECUARO,3.2
-101,20.4,GTO,JDPGJ,JARAL DEL PROGRESO,8.4
-101.83,20.67,GTO,LADGJ,LAS ADJUNTAS,9.1
-101.13,20.22,GTO,LDYGJ,SANTA MARIA YURIRIA,8
-101.67,21.1,GTO,LENGJ,LEON,16.7
-100.87,20.38,GTO,LGVGJ,P. LA GAVIA,7
-101.36,20.28,GTO,LJIGJ,LAS JICAMAS,4
-101,20.3,GTO,LMTGJ,LOMO DE TORO,0
-101.11,21.32,GTO,LQMGJ,LA QUEMADA,18.5
-101.02,20.3,GTO,LTOGJ,"LOMO DE TORO, (AUTOMATICA)",1
-101.95,20.5,GTO,MABGJ,MARIANO ABASOLO,18
-100.58,20.56,GTO,MCHGJ,"AMECHE, (AUTOMATICA)",1
-101.19,20.13,GTO,MORGJ,MOROLEON,8.1
-101.52,21.63,GTO,OCMGJ,OCAMPO,24
-100.83,20.85,GTO,PALGJ,"PRESA ALLENDE, GTO.  SMN",2.5
-101.06,20.52,GTO,PCSGJ,"PERICOS, (AUTOMATICA)",13.1
-100.9,21.1,GTO,PDLGJ,PUENTE DOLORES                      *,8
-101.13,20.52,GTO,PERGJ,PERICOS,14.3
-100.88,21.1,GTO,PNLGJ,PEÒUELITAS,19
-100.5,21.22,GTO,POZGJ,POZOS,12.6
-101.28,20.85,GTO,PRSGJ,PRESA LA PURISIMA,7
-101.22,21.48,GTO,SFEGJ,SAN FELIPE,17
-101.02,20.4,GTO,SJLGJ,SANTA JULIA,6.9
-100.39,21,GTO,SJPGJ,SAN J. PAN DE ARRIBA,20.8
-101.2,20.57,GTO,SLMGJ,SALAMANCA,6.2
-100.75,20.58,GTO,SMOGJ,SAN MIGUEL OCTOPAN,5
-100.52,21.3,GTO,SLPGJ,SAN LUIS DE LA PAZ,8
-100.82,20.05,GTO,SLSGJ,P. SOLIS,2.5
-100.88,20.22,GTO,SLVGJ,SALVATIERRA,1.1
-101.02,20.43,GTO,SMAGJ,SAN MIGUEL DE ALLENDE,11
-101.07,20.3,GTO,SRTGJ,SANTA RITA,16.2
-100.75,20.28,GTO,TARGJ,TARIMORO,0.5
-101.3,20.6,GTO,TEMGJ,TEMASCATIO,8.7
-100.8,20.5,GTO,TGRGJ,TRES GUERRAS,3.5
-101.37,20.74,GTO,TPCGJ,TEPALCATES,4.4
-101.18,20.39,GTO,VDSGJ,V. DE SANTIAGO,29.5
-100.09,21.3,GTO,XICGJ,XICHU,8.1
