LON,LAT,ESTADO,CVE_SIH,NOMBRE_ESTACION,JUN
-99.09,19.25,DF,PNTDF,PLANTA NATIVITAS,106.1
-99.26,19.29,DF,PRMDF,P. T. RIO MAGDALENA,161.1
-99.15,19.51,DF,PRRDF,P. T. RIO REMEDIOS,106.9
-99.02,19.3,DF,PSCDF,P. T. SANTA CATARINA,99.5
-99.05,19.23,DF,PSLDF,PLANTA SAN LUIS,120.6
-99.16,19.47,DF,PSNDF,P. B. NUEVA SANTA MARIA,104
-99.17,19.26,DF,PSPDF,"P. SAN PEDRO MARTIR, DF",122
-99.19,19.51,DF,PTRDF,P. T. ROSARIO,146.3
-99.13,19.29,DF,PVCDF,P. B. VILLA COAPA,153.8
-99.14,19.33,DF,PXTDF,PLANTA XOTEPINGO,61.3
-99.19,19.3,DF,RBTDF,REBOMBEO BOSQUE TLALPAN(B TLALPAN),147.4
-99.17,19.4,DF,RCMDF,RADIO COMUNICACION,144.5
-99,19.17,DF,SANDF,SANTA ANA,54.9
-99.28,19.33,DF,SBADF,SAN BARTOLO AMEYALCO,144.3
-99.03,19.34,DF,SCMDF,SANTA CRUZ MEYEHUALCO,139.8
-99.12,19.58,DF,SGDDF,SIERRA GUADALUPE,109.3
-99.07,19.47,DF,SJADF,SAN JUAN DE ARAGON,87.1
-99.01,19.28,DF,SPPDF,SAN PEDRO TLAHUAC,159.7
-98.96,19.32,DF,SSCDF,S. ELEC. SANTA CATARINA(LA CALERA),115
-99.14,19.56,DF,TCMDF,TANQUE CHALMITA,128.6
-99.27,19.37,DF,TECDF,TANQUE EL CARTERO,163.7
-99.25,19.33,DF,TELDF,TANQUE EL LIENZO,157.1
-99.21,19.4,DF,TNGDF,TRIANGULO,153.9
-99.14,19.2,DF,TPJDF,TOPILEJO,114.2
-99.08,19.44,DF,TPNDF,TANQUE PEÒON,106.1
-99.21,19.36,DF,TRGDF,TARANGO,168.4
-99.25,19.32,DF,TSFDF,T. SAN FRANCISCO,157
-99.23,19.44,DF,TSJDF,T. SAN JOAQUIN,170.7
-99.26,19.36,DF,TSLDF,TRIF. SANTA LUCIA (SANTA FE),154.7
-98.97,19.21,DF,TTLDF,TETELCO,55
-99.21,19.51,DF,VDCDF,VASO DE CRISTO (SACM),117.8
-104.07,25.26,DGO,AM2DR,"AGUSTIN MELGAR, (AUTOMATICA)",9.5
-104.48,26.24,DGO,APRDR,AGUA PUERCA,24
-104.7,24,DGO,CAGDR,CAMPO AGRICOLA,10.4
-104.8,24.52,DGO,CB2DR,CABORACA (HIDRO),55.2
-104.8,24.52,DGO,CBRDR,P. CABORACA,55.6
-104.07,26.3,DGO,CEBDR,CEVALLOS,37
-104.12,24.44,DGO,CGVDR,CIUDAD GUADALUPE VICTORIA,18.8
-103.52,25.53,DGO,CLRDR,CIUDAD LERDO,13.6
-103.7,24.87,DGO,CNCDR,CUENCAME,20.6
-104.75,24.5,DGO,CNTDR,CANATLAN,37.2
-104.67,24.03,DGO,DRGDR,DURANGO,19.2
-103.96,24,DGO,FV2DR,FRANCISCO VILLA (HIDRO),13
-103.96,24,DGO,FVLDR,PRESA FRANCISCO VILLA,17.4
-103.78,25.27,DGO,FZRDR,PRESA FRANCISCO ZARCO,26.6
-105.25,25.5,DGO,GESDR,GENERAL ESCOBEDO,1
-105.96,25.93,DGO,GNCDR,GUANACEVI,9
-104.75,23.96,DGO,GVCDR,PRESA GUADALUPE VICTORIA,9.7
-104.75,23.96,DGO,GVHDR,GUADALUPE VICTORIA,7.5
-105,25.61,DGO,LCRDR,PRESA LAZARO CARDENAS,2.4
-103.28,25.06,DGO,LFLDR,LA FLOR,13.5
-103.31,24.63,DGO,LNRDR,PRESA LOS NARANJOS,0
-105.47,24.19,DGO,LVEDR,"LAS VEGAS, (AUTOMATICA)",49.6
-103.85,25.82,DGO,MPMDR,MAPIMI,2
-104.11,25.23,DGO,NZSDR,NAZAS,3
-104.66,24.24,DGO,PA2DR,PE—A DEL AGUILA (HIDRO),52.9
-104.66,24.24,DGO,PAGDR,PRESA PEÒA DEL AGUILA,55.7
-106.37,26.13,DGO,ROSDR,LA ROSILLA,57
-105.44,25.23,DGO,SACDR,SALOME ACOSTA,36.2
-104.67,23.87,DGO,SB2DR,SANTIAGO BAYACORA (HIDRO),12.1
-104.67,23.87,DGO,SBYDR,P. SANTIAGO BAYACORA,12.3
-104.05,23.62,DGO,SELDR,PRESA SANTA ELENA,54.8
-105.55,26.42,DGO,SGBDR,SAN GABRIEL,24
-106.13,24.44,DGO,SJRDR,SAN JOSE DE REYES,53
-105.37,25.95,DGO,SMODR,SANTA MARIA DEL ORO,49
-105.42,25.04,DGO,SPPDR,SANTIAGO PAPASQUIARO,0
-105.57,26.08,DGO,SRDDR,SARDINAS,30.5
-106,24.5,DGO,TDRDR,EL TULE DEL REAL,41.7
-103.44,26.11,DGO,THODR,TLAHUALILO,24.3
-105.73,25.34,DGO,TLHDR,TEPEHUANES,20.2
-106.98,24.93,DGO,TMZDR,TAMAZULA,21.5
-104.5,26.1,DGO,VHGDR,P. VILLA HIDALGO,16.6
-105.5,26.44,DGO,VOCDR,VILLA OCAMPO,11.5
-99.91,16.85,GRO,ACAGR,ACAPULCO,87.8
-99.75,16.76,GRO,ACUGR,"ACAPULCO, (AUTOMATICA)",157.3
-99.5,17.5,GRO,AERGR,AEROPUERTO,143.4
-98.98,17.72,GRO,AHUGR,AHUACUOTZINGO,129.4
-99.1,16.95,GRO,AYUGR,AYUTLA,419.9
-99.2,18.2,GRO,BVSGR,BUENA VISTA,274
-100.66,18.35,GRO,CA2GR,"CD. ALTAMIRANO, (AUTOMATICA)",0
-100.66,18.36,GRO,CALGR,CIUDAD ALTAMIRANO,190.5
-99.86,16.86,GRO,CAZGR,COSTA AZUL,74.8
-100.63,18.33,GRO,CDBGR,COYUCA DE BENITEZ,59.6
-99.5,17.55,GRO,CHIGR,CHILPANCINGO,181.3
-99.18,17.61,GRO,CHLGR,CHILAPA,213
-98.41,16.47,GRO,CNLGR,CUAJINICUILAPA,152.9
-99.66,18.25,GRO,COCGR,COCULA,249.9
-98.97,16.61,GRO,COPGR,COPALA,244
-99.91,16.88,GRO,CPRGR,COL. PROGRESO (CALLE DURANGO),56.3
-101.05,17.38,GRO,CYQGR,COYUQUILLA,68
-100.68,18.52,GRO,EGLGR,P. EL GALLO,163.5
-99.88,16.87,GRO,GTAGR,LA GARITA (TUNEL ALTO),76.9
-99.55,18.35,GRO,IGLGR,IGUALA,312.2
-101,18.45,GRO,LCLGR,LA CALERA,70
-100.02,16.96,GRO,LDCGR,LAGUNA DE COYUCA,138.4
-99.24,16.76,GRO,LDGGR,LAS VIGAS,116
-99.92,16.86,GRO,LMRGR,LA MIRA,86.9
-99.89,16.9,GRO,MAGGR,MAGALLANES (4 ETAPA FOVISSSTE),41.4
-99.37,17.47,GRO,MCHGR,MOCHITLAN,171.4
-99.8,16.8,GRO,ODAGR,OBSERVATORIO DE ACAPULCO,219.2
-99.5,17.6,GRO,ODZGR,OBSERVATORIO DE ZUMPANGO,73.5
-98.74,17.78,GRO,OLNGR,OLINALA,283
-98.43,16.68,GRO,OMEGR,OMETEPEC,331.5
-98.51,16.66,GRO,QTZGR,QUETZALA,164
-99.2,16.8,GRO,RMEGR,REVOLUCION MEXICANA,121.8
-100.47,17.14,GRO,SJEGR,SAN JERONIMO,180.5
-99.48,16.8,GRO,SNMGR,SAN MARCOS                          *,141.5
-99.61,18.55,GRO,TAXGR,TAXCO,288.6
-99.53,17.17,GRO,TCOGR,TIERRA COLORADA,194
-100.63,17.26,GRO,TECGR,TECPAN DE GALEANA,96.7
-99.98,17.79,GRO,TLAGR,TLACOTEPEC,193.7
-98.6,17.5,GRO,TLPGR,TLAPA,311
-99.4,17.57,GRO,TXTGR,TIXTLA,141.3
-100.27,18.39,GRO,VGRGR,P. VICENTE GUERRERO,190.4
-99.5,18.42,GRO,VTRGR,PRESA VALERIO TRUJANO,231.1
-98.49,17.9,GRO,XXHGR,XOCHIHUEHUETLAN,347.3
-101.55,17.65,GRO,ZHTGR,ZIHUATANEJO,41.6
-101.52,20.43,GTO,ABSGJ,ABASOLO,88.5
-100.72,20.03,GTO,ACNGJ,ACAMBARO,99.1
-100.68,20.53,GTO,AEGGJ,APASEO EL GRANDE,31.6
-100.58,20.55,GTO,AMCGJ,AMECHE,105.5
-101.37,20.71,GTO,ANSGJ,ARANDAS,148.5
-100.62,20.45,GTO,APSGJ,APASEO EL ALTO,72
-101.63,20.5,GTO,ATBGJ,AGUA TIBIA,153.5
-100.83,20.85,GTO,BEGGJ,LA BEGO—A (HIDROM. IGNACIO ALLENDE),81.9
-101.83,21.05,GTO,BRRGJ,PRESA EL BARRIAL,121.9
-100.9,20.28,GTO,CBOGJ,"EL CUBO, (AUTOMATICA)",86.2
-100.82,20.53,GTO,CLYGJ,CELAYA,69
-101.47,21.07,GTO,COMGJ,COMANJILLA,113.8
-100.36,20.2,GTO,CORGJ,CORONEO,102.9
-101.67,20.62,GTO,CRMGJ,CUERAMARO,105.6
-100.95,20.48,GTO,CRTGJ,CORTAZAR,66.9
-100.9,20.95,GTO,CSRGJ,CINCO SEÒORES,82.4
-101.67,21.19,GTO,CSSGJ,LOS CASTILLOS(CANALES),58.6
-101.67,21.2,GTO,CSTGJ,LOS CASTILLOS,46.6
-100.93,21.15,GTO,DHGGJ,DOLORES HIDALGO,62.5
-100.5,20.2,GTO,ECBGJ,EL CUBO,86.9
-101.2,20.9,GTO,ECHGJ,EL CHAPIN,80.1
-101.37,20.73,GTO,ECNGJ,PRESA EL CONEJO,148.5
-101.67,21.17,GTO,EPLGJ,EL PALOTE,34.3
-101.75,20.43,GTO,GLNGJ,PRESA LA GOLONDRINA,164.1
-101.27,21.01,GTO,GTOGJ,GUANAJUATO,49
-100.82,20.83,GTO,IALGJ,IGNACIO ALLENDE,81.9
-101.35,20.68,GTO,IRPGJ,IRAPUATO,111.5
-100.52,20.13,GTO,JCRGJ,JERECUARO,117.1
-101,20.4,GTO,JDPGJ,JARAL DEL PROGRESO,71.3
-101.83,20.67,GTO,LADGJ,LAS ADJUNTAS,83.7
-101.13,20.22,GTO,LDYGJ,SANTA MARIA YURIRIA,132.6
-101.67,21.1,GTO,LENGJ,LEON,73.8
-100.87,20.38,GTO,LGVGJ,P. LA GAVIA,83.1
-101.36,20.28,GTO,LJIGJ,LAS JICAMAS,179
-101,20.3,GTO,LMTGJ,LOMO DE TORO,65.4
-101.11,21.32,GTO,LQMGJ,LA QUEMADA,78.1
-101.95,20.5,GTO,MABGJ,MARIANO ABASOLO,133.9
-100.58,20.56,GTO,MCHGJ,"AMECHE, (AUTOMATICA)",90
-101.19,20.13,GTO,MORGJ,MOROLEON,87.5
-101.52,21.63,GTO,OCMGJ,OCAMPO,65
-100.83,20.85,GTO,PALGJ,"PRESA ALLENDE, GTO.  SMN",64.3
-101.06,20.52,GTO,PCSGJ,"PERICOS, (AUTOMATICA)",1.3
-100.9,21.1,GTO,PDLGJ,PUENTE DOLORES                      *,65.5
-101.13,20.52,GTO,PERGJ,PERICOS,94.2
-100.88,21.1,GTO,PNLGJ,PEÒUELITAS,109.4
-100.5,21.22,GTO,POZGJ,POZOS,176.2
-101.28,20.85,GTO,PRSGJ,PRESA LA PURISIMA,44.9
-101.22,21.48,GTO,SFEGJ,SAN FELIPE,60.8
-101.02,20.4,GTO,SJLGJ,SANTA JULIA,83
-100.39,21,GTO,SJPGJ,SAN J. PAN DE ARRIBA,64.9
-101.2,20.57,GTO,SLMGJ,SALAMANCA,155.9
-100.75,20.58,GTO,SMOGJ,SAN MIGUEL OCTOPAN,80.9
-100.52,21.3,GTO,SLPGJ,SAN LUIS DE LA PAZ,112
-100.82,20.05,GTO,SLSGJ,P. SOLIS,71
-100.88,20.22,GTO,SLVGJ,SALVATIERRA,77.7
-101.07,20.3,GTO,SRTGJ,SANTA RITA,133.2
-100.75,20.28,GTO,TARGJ,TARIMORO,71.1
-101.3,20.6,GTO,TEMGJ,TEMASCATIO,84
-100.8,20.5,GTO,TGRGJ,TRES GUERRAS,67
-101.37,20.74,GTO,TPCGJ,TEPALCATES,152.9
-101.18,20.39,GTO,VDSGJ,V. DE SANTIAGO,189
-100.09,21.3,GTO,XICGJ,XICHU,79.9
-98.94,20.27,HGO,ACTHD,ACTOPAN,106.5
