LON,LAT,ESTADO,CVE_SIH,NOMBRE_ESTACION,AGO
-99.09,19.25,DF,PNTDF,PLANTA NATIVITAS,167.7
-99.26,19.29,DF,PRMDF,P. T. RIO MAGDALENA,189.8
-99.15,19.51,DF,PRRDF,P. T. RIO REMEDIOS,126.8
-99.02,19.3,DF,PSCDF,P. T. SANTA CATARINA,124.7
-99.05,19.23,DF,PSLDF,PLANTA SAN LUIS,151.6
-99.16,19.47,DF,PSNDF,P. B. NUEVA SANTA MARIA,196.2
-99.17,19.26,DF,PSPDF,"P. SAN PEDRO MARTIR, DF",194.5
-99.19,19.51,DF,PTRDF,P. T. ROSARIO,198
-99.13,19.29,DF,PVCDF,P. B. VILLA COAPA,141
-99.14,19.33,DF,PXTDF,PLANTA XOTEPINGO,154.1
-99.19,19.3,DF,RBTDF,REBOMBEO BOSQUE TLALPAN(B TLALPAN),156.4
-99.17,19.4,DF,RCMDF,RADIO COMUNICACION,100.5
-99,19.17,DF,SANDF,SANTA ANA,126.2
-99.28,19.33,DF,SBADF,SAN BARTOLO AMEYALCO,192.3
-99.03,19.34,DF,SCMDF,SANTA CRUZ MEYEHUALCO,98
-99.12,19.58,DF,SGDDF,SIERRA GUADALUPE,145.3
-99.07,19.47,DF,SJADF,SAN JUAN DE ARAGON,104.1
-99.01,19.28,DF,SPPDF,SAN PEDRO TLAHUAC,159.1
-98.96,19.32,DF,SSCDF,S. ELEC. SANTA CATARINA(LA CALERA),83.1
-99.14,19.56,DF,TCMDF,TANQUE CHALMITA,147.5
-99.27,19.37,DF,TECDF,TANQUE EL CARTERO,149.8
-99.25,19.33,DF,TELDF,TANQUE EL LIENZO,168.4
-99.21,19.4,DF,TNGDF,TRIANGULO,62.2
-99.14,19.2,DF,TPJDF,TOPILEJO,248.5
-99.08,19.44,DF,TPNDF,TANQUE PEÒON,117.1
-99.21,19.36,DF,TRGDF,TARANGO,84.5
-99.25,19.32,DF,TSFDF,T. SAN FRANCISCO,173.8
-99.23,19.44,DF,TSJDF,T. SAN JOAQUIN,125.8
-99.26,19.36,DF,TSLDF,TRIF. SANTA LUCIA (SANTA FE),176.2
-98.97,19.21,DF,TTLDF,TETELCO,130
-99.21,19.51,DF,VDCDF,VASO DE CRISTO (SACM),165.5
-104.07,25.26,DGO,AM2DR,"AGUSTIN MELGAR, (AUTOMATICA)",0.8
-104.48,26.24,DGO,APRDR,AGUA PUERCA,17.1
-104.7,24,DGO,CAGDR,CAMPO AGRICOLA,87.1
-104.8,24.52,DGO,CB2DR,CABORACA (HIDRO),119.3
-104.8,24.52,DGO,CBRDR,P. CABORACA,119.9
-104.07,26.3,DGO,CEBDR,CEVALLOS,0
-104.12,24.44,DGO,CGVDR,CIUDAD GUADALUPE VICTORIA,104.9
-103.52,25.53,DGO,CLRDR,CIUDAD LERDO,24.9
-103.7,24.87,DGO,CNCDR,CUENCAME,99.7
-104.75,24.5,DGO,CNTDR,CANATLAN,76
-104.67,24.03,DGO,DRGDR,DURANGO,82.8
-103.96,24,DGO,FV2DR,FRANCISCO VILLA (HIDRO),47.5
-103.96,24,DGO,FVLDR,PRESA FRANCISCO VILLA,47.9
-103.78,25.27,DGO,FZRDR,PRESA FRANCISCO ZARCO,32.5
-105.25,25.5,DGO,GESDR,GENERAL ESCOBEDO,120
-105.96,25.93,DGO,GNCDR,GUANACEVI,144
-104.75,23.96,DGO,GVCDR,PRESA GUADALUPE VICTORIA,109.9
-104.75,23.96,DGO,GVHDR,GUADALUPE VICTORIA,96
-105,25.61,DGO,LCRDR,PRESA LAZARO CARDENAS,62.1
-103.28,25.06,DGO,LFLDR,LA FLOR,8
-103.31,24.63,DGO,LNRDR,PRESA LOS NARANJOS,0
-105.47,24.19,DGO,LVEDR,"LAS VEGAS, (AUTOMATICA)",94.7
-103.85,25.82,DGO,MPMDR,MAPIMI,2
-104.11,25.23,DGO,NZSDR,NAZAS,5
-104.66,24.24,DGO,PA2DR,PE—A DEL AGUILA (HIDRO),140.7
-104.66,24.24,DGO,PAGDR,PRESA PEÒA DEL AGUILA,140.9
-106.37,26.13,DGO,ROSDR,LA ROSILLA,93
-104.9,25.75,DGO,RPADR,RADAR PALMITO,75
-105.44,25.23,DGO,SACDR,SALOME ACOSTA,110.5
-104.67,23.87,DGO,SB2DR,SANTIAGO BAYACORA (HIDRO),66.4
-104.9,23.8,DGO,SBBDR,SANTA BARBARA,107.4
-104.67,23.87,DGO,SBYDR,P. SANTIAGO BAYACORA,67
-104.05,23.62,DGO,SELDR,PRESA SANTA ELENA,95.5
-105.55,26.42,DGO,SGBDR,SAN GABRIEL,76
-106.13,24.44,DGO,SJRDR,SAN JOSE DE REYES,35
-105.37,25.95,DGO,SMODR,SANTA MARIA DEL ORO,59
-105.42,25.04,DGO,SPPDR,SANTIAGO PAPASQUIARO,205
-105.57,26.08,DGO,SRDDR,SARDINAS,93.1
-106,24.5,DGO,TDRDR,EL TULE DEL REAL,116.8
-103.44,26.11,DGO,THODR,TLAHUALILO,5.5
-105.73,25.34,DGO,TLHDR,TEPEHUANES,51.1
-106.98,24.93,DGO,TMZDR,TAMAZULA,286.3
-104.5,26.1,DGO,VHGDR,P. VILLA HIDALGO,89.1
-105.5,26.44,DGO,VOCDR,VILLA OCAMPO,76
-99.91,16.85,GRO,ACAGR,ACAPULCO,358.8
-99.75,16.76,GRO,ACUGR,"ACAPULCO, (AUTOMATICA)",177.3
-99.5,17.5,GRO,AERGR,AEROPUERTO,104.7
-98.98,17.72,GRO,AHUGR,AHUACUOTZINGO,149.6
-99.88,16.75,GRO,AOMGR,AEROPUERTO (OBSER. METEOROLOGICO),104.6
-99.1,16.95,GRO,AYUGR,AYUTLA,192.3
-99.2,18.2,GRO,BVSGR,BUENA VISTA,307
-100.66,18.35,GRO,CA2GR,"CD. ALTAMIRANO, (AUTOMATICA)",0
-100.66,18.36,GRO,CALGR,CIUDAD ALTAMIRANO,80.1
-99.86,16.86,GRO,CAZGR,COSTA AZUL,212.4
-99.94,16.73,GRO,CBTGR,CBTIS 14,316.8
-100.63,18.33,GRO,CDBGR,COYUCA DE BENITEZ,140.3
-99.5,17.55,GRO,CHIGR,CHILPANCINGO,149
-99.18,17.61,GRO,CHLGR,CHILAPA,42
-98.41,16.47,GRO,CNLGR,CUAJINICUILAPA,243.5
-99.66,18.25,GRO,COCGR,COCULA,260.3
-98.97,16.61,GRO,COPGR,COPALA,163.5
-99.91,16.88,GRO,CPRGR,COL. PROGRESO (CALLE DURANGO),248.8
-99.85,16.9,GRO,CSMGR,COL. SIMON BOLIVAR,84
-101.05,17.38,GRO,CYQGR,COYUQUILLA,79.5
-99.72,17.32,GRO,ECAGR,EL CARACOL,183.4
-100.68,18.52,GRO,EGLGR,P. EL GALLO,137.3
-99.88,16.87,GRO,GTAGR,LA GARITA (TUNEL ALTO),230.7
-99.55,18.35,GRO,IGLGR,IGUALA,46.9
-99.93,16.87,GRO,JNAGR,JUAN N. ALVAREZ,15.3
-101,18.45,GRO,LCLGR,LA CALERA,46
-100.02,16.96,GRO,LDCGR,LAGUNA DE COYUCA,35.4
-99.24,16.76,GRO,LDGGR,LAS VIGAS,269.6
-99.92,16.86,GRO,LMRGR,LA MIRA,166.7
-99.89,16.9,GRO,MAGGR,MAGALLANES (4 ETAPA FOVISSSTE),181.3
-99.37,17.47,GRO,MCHGR,MOCHITLAN,35.9
-99.8,16.8,GRO,ODAGR,OBSERVATORIO DE ACAPULCO,135.9
-99.5,17.6,GRO,ODZGR,OBSERVATORIO DE ZUMPANGO,149.5
-98.74,17.78,GRO,OLNGR,OLINALA,208
-98.43,16.68,GRO,OMEGR,OMETEPEC,228.4
-99.92,16.89,GRO,PSCGR,PALMA SOLA-CAMARON,23.4
-98.51,16.66,GRO,QTZGR,QUETZALA,195.5
-99.2,16.8,GRO,RMEGR,REVOLUCION MEXICANA,112.9
