LON,LAT,ESTADO,CVE_SIH,NOMBRE_ESTACION,OCT
-92.58,15.2,CHIS,DESCP,DESPOBLADO,450
-92.95,15.5,CHIS,ELNCP,EL NOVILLERO,252
-92.67,15.32,CHIS,ESCCP,ESCUINTLA,559.3
-93.13,16.64,CHIS,GRICP,GRIJALVA,72.5
-92.47,15.13,CHIS,HUICP,HUIXTLA,647.6
-92.73,15.87,CHIS,JAPCP,JALTENANGO,251.7
-92.92,15.92,CHIS,JSBCP,JUAN SABINES (CUSTAPEQUES),157.9
-93.56,16.7,CHIS,LFLCP,LAS FLORES,164.9
-93.58,17.22,CHIS,MALCP,MALPASO (NETZAHUALCOYOTL),371.1
-92.88,15.45,CHIS,MAPCP,MAPASTEPEC,384.5
-93.16,17.22,CHIS,OCOCP,OCOTEPEC,304.3
-91.97,15.85,CHIS,PCOCP,PUENTE CONCORDIA,219.7
-93.45,17.41,CHIS,PE•CP,PRESA PE—ITAS,523.7
-93.22,15.69,CHIS,PIJCP,PIJIJIAPAN,295.8
-93.39,17.58,CHIS,PLACP,PLATANAR                            *,291.3
-93.55,17.35,CHIS,RCACP,ROMULO CALZADA,416.6
-92.67,15.92,CHIS,REFCP,REFORMA,316.4
-93.75,16.16,CHIS,REVCP,REVOLUCION MEXICANA,194.4
-92.35,17.57,CHIS,SAACP,SALTO DE AGUA,813
-93.38,17.43,CHIS,SAYCP,SAYULA,514.1
-92.63,16.73,CHIS,SCOCP,SAN CRISTOBAL METEOROLOGICO,225.2
-92.62,16.74,CHIS,SCRCP,SAN CRISTOBAL,213.7
-92.11,15.78,CHIS,SDOCP,SANTO DOMINGO,50.8
-92.24,15.78,CHIS,SMICP,SAN MIGUEL,440.8
-92.82,16.94,CHIS,SNACP,SANTA MARIA,292.5
-92.72,14.95,CHIS,TAMCP,TAPACHULA (MALPASO II),748.3
-92.25,14.92,CHIS,TAPCP,TAPACHULA OBSERVATORIO,427.7
-93.75,16.09,CHIS,TONCP,TONALA,268.9
-93.53,15.88,CHIS,TPICP,TRES PICOS,202.5
-93.02,17.75,CHIS,TUXCP,TUXTLA GUTIERREZ PALMAS,86.9
-93.13,16.75,CHIS,TXOCP,TUXTLA GTZ. OBSERVATORIO,97
-93.27,16.23,CHIS,VIFCP,VILLA FLORES,65.5
-93.33,17.12,CHIS,YAMCP,YAMANHO,265
-100.84,28.34,COAH,ADLCL,ALLENDE,163
-101.06,29.44,COAH,AMSCL,PRESA AMISTAD,56
-100.45,25.52,COAH,ARACL,RAMOS ARIZPE,6
-100.93,25.55,COAH,ARACL,RAMOS ARIZPE AEROPUERTO,6
-102.1,27,COAH,CCGCL,CUATRO CIENEGAS                     *,39.8
-100.95,29.33,COAH,CDACL,CIUDAD ACUÒA,43
-100.65,26.84,COAH,CDLCL,CANDELA,29
-100.94,29.21,COAH,CNTCL,PRESA EL CENTENARIO,107
-103.47,25.54,COAH,CYTCL,COYOTE,35.3
-100.9,25.43,COAH,ESLCL,E. C. SALTILLO,14.1
-100.82,28.82,COAH,LFGCL,LA FRAGUA,0.2
-103.28,25.07,COAH,LFLDR,LA FLOR,30.4
-103.2,25.6,COAH,MATCL,MATAMOROS SL,62
-101.42,26.91,COAH,MCVCL,MONCLOVA,43.1
-101.51,27.88,COAH,MZQCL,MUZQUIZ,72
-102.4,27.32,COAH,OCMCL,OCAMPO,30.5
-102.18,25.44,COAH,PARCL,PARRAS,41.2
-100.52,28.67,COAH,PNGCL,PIEDRAS NEGRAS,94.7
-101,25.46,COAH,PRSCL,PROGRESO,67.5
-100.57,25.27,COAH,SAACL,SAN ANTONIO DE LAS ALAZANAS,23
-101.01,25.42,COAH,SALCL,SALTILLO (BELLAVISTA),16.5
-101.12,27.84,COAH,SBNCL,SABINAS,56.5
-100.95,29.04,COAH,SMGCL,PRESA SAN MIGUEL,94
-103.7,27.29,COAH,SMJCL,SIERRA MOJADA,7.5
-102.98,25.76,COAH,SPECL,SAN PEDRO,35.1
-101.02,25.38,COAH,STOCL,SALTILLO,13
-103.45,25.54,COAH,TORCL,TORREON OBSERVATORIO,27.3
-100.73,27.5,COAH,VCRCL,PRESA VENUSTIANO CARRANZA,11.5
-101.9,29,COAH,ZPTCL,ZAPATA,94
-103.61,19.25,COL,BVSCM,BUENA VISTA,101
-103.72,18.75,COL,CDOCM,CERRO DE ORTEGA,52.1
-103.71,19.3,COL,CHNCM,EL CHANAL,90.5
-103.63,18.81,COL,CLLCM,CALLEJONES,70.3
-103.76,19.32,COL,CMLCM,COMALA,69.7
-103.8,19.21,COL,CQMCM,COQUIMATLAN,42
-103.6,19.33,COL,CUACM,CUAHTEMOC,80
-103.88,19.11,COL,DJLCM,DERIVADORA JALA,70.5
-103.87,19.17,COL,LAECM,LA ESPERANZA,3
-103.87,18.9,COL,LDACM,LAGUNA DE AMELA,43.7
-103.73,19.22,COL,LPSCM,LA POSTA,31.5
-104.32,19.04,COL,MNZCM,MANZANILLO,112.1
-103.82,19.27,COL,PNTCM,PEÒITAS,120.5
-103.73,19.22,COL,RDRCM,RADAR,19.5
-103.7,19.41,COL,SCHCM,SUCHITLAN,128.2
-103.88,18.93,COL,TCMCM,TECOMAN,73.5
-103.52,19.25,COL,TRJCM,TROJES,36
-103.66,19.28,COL,TRPCM,TRAPICHE,70.6
-99.21,19.22,DF,AJSDF,AJUSCO,101.4
-99.17,19.45,DF,CBIDF,"ESCUELA NACIONAL DE CIENCIAS BIOLOGICAS, IPN (AUTOMATICA)",97.7
-99.18,19.35,DF,CCUDF,CENTRO UNIVERSITARIO,128.6
-99,19.36,DF,CDMDF,CARCEL DE MUJERES,45
