LON,LAT,ESTADO,CVE_SIH,NOMBRE_ESTACION,NOV
-91.97,15.85,CHIS,PCOCP,PUENTE CONCORDIA,62.6
-93.45,17.41,CHIS,PE•CP,PRESA PE—ITAS,651.4
-93.22,15.69,CHIS,PIJCP,PIJIJIAPAN,61.2
-93.39,17.58,CHIS,PLACP,PLATANAR                            *,557.5
-93.55,17.35,CHIS,RCACP,ROMULO CALZADA,566.8
-92.67,15.92,CHIS,REFCP,REFORMA,76
-93.75,16.16,CHIS,REVCP,REVOLUCION MEXICANA,27.5
-92.35,17.57,CHIS,SAACP,SALTO DE AGUA,489.1
-93.38,17.43,CHIS,SAYCP,SAYULA,1269.4
-92.63,16.73,CHIS,SCOCP,SAN CRISTOBAL METEOROLOGICO,31.5
-92.62,16.74,CHIS,SCRCP,SAN CRISTOBAL,50.7
-92.11,15.78,CHIS,SDOCP,SANTO DOMINGO,7.4
-92.24,15.78,CHIS,SMICP,SAN MIGUEL,102.9
-92.82,16.94,CHIS,SNACP,SANTA MARIA,278.6
-92.72,14.95,CHIS,TAMCP,TAPACHULA (MALPASO II),105.5
-92.25,14.92,CHIS,TAPCP,TAPACHULA OBSERVATORIO,190.8
-93.75,16.09,CHIS,TONCP,TONALA,1.1
-93.53,15.88,CHIS,TPICP,TRES PICOS,4.7
-93.02,17.75,CHIS,TUXCP,TUXTLA GUTIERREZ PALMAS,19.3
-93.13,16.75,CHIS,TXOCP,TUXTLA GTZ. OBSERVATORIO,21.1
-93.27,16.23,CHIS,VIFCP,VILLA FLORES,37
-93.33,17.12,CHIS,YAMCP,YAMANHO,371.7
-100.84,28.34,COAH,ADLCL,ALLENDE,42
-101.06,29.44,COAH,AMSCL,PRESA AMISTAD,19.5
-100.45,25.52,COAH,ARACL,RAMOS ARIZPE,2.2
-100.93,25.55,COAH,ARACL,RAMOS ARIZPE AEROPUERTO,2.2
-102.1,27,COAH,CCGCL,CUATRO CIENEGAS                     *,20.4
-100.95,29.33,COAH,CDACL,CIUDAD ACUÒA,17.6
-100.65,26.84,COAH,CDLCL,CANDELA,40
-100.94,29.21,COAH,CNTCL,PRESA EL CENTENARIO,10
-103.47,25.54,COAH,CYTCL,COYOTE,21
-100.9,25.43,COAH,ESLCL,E. C. SALTILLO,29.5
-100.82,28.82,COAH,LFGCL,LA FRAGUA,24.3
-103.28,25.07,COAH,LFLDR,LA FLOR,24.2
-103.2,25.6,COAH,MATCL,MATAMOROS SL,23.5
-101.42,26.91,COAH,MCVCL,MONCLOVA,51.5
-101.51,27.88,COAH,MZQCL,MUZQUIZ,44
-102.4,27.32,COAH,OCMCL,OCAMPO,71.5
-102.18,25.44,COAH,PARCL,PARRAS,29.5
-100.52,28.67,COAH,PNGCL,PIEDRAS NEGRAS,30.3
-101,25.46,COAH,PRSCL,PROGRESO,23
-100.57,25.27,COAH,SAACL,SAN ANTONIO DE LAS ALAZANAS,63
-101.01,25.42,COAH,SALCL,SALTILLO (BELLAVISTA),32
-101.12,27.84,COAH,SBNCL,SABINAS,64
-100.95,29.04,COAH,SMGCL,PRESA SAN MIGUEL,19
-103.7,27.29,COAH,SMJCL,SIERRA MOJADA,173
-102.98,25.76,COAH,SPECL,SAN PEDRO,10.7
-101.02,25.38,COAH,STOCL,SALTILLO,12.8
-103.45,25.54,COAH,TORCL,TORREON OBSERVATORIO,26.6
-100.73,27.5,COAH,VCRCL,PRESA VENUSTIANO CARRANZA,28.2
-101.9,29,COAH,ZPTCL,ZAPATA,26
-103.61,19.25,COL,BVSCM,BUENA VISTA,113
-103.72,18.75,COL,CDOCM,CERRO DE ORTEGA,62
-103.71,19.3,COL,CHNCM,EL CHANAL,89.2
-103.63,18.81,COL,CLLCM,CALLEJONES,84.5
-103.76,19.32,COL,CMLCM,COMALA,83.4
-103.8,19.21,COL,CQMCM,COQUIMATLAN,115.8
-103.6,19.33,COL,CUACM,CUAHTEMOC,70
-103.88,19.11,COL,DJLCM,DERIVADORA JALA,148.3
-103.87,19.17,COL,LAECM,LA ESPERANZA,22.5
-103.87,18.9,COL,LDACM,LAGUNA DE AMELA,173.6
-103.73,19.22,COL,LPSCM,LA POSTA,82.1
-104.32,19.04,COL,MNZCM,MANZANILLO,123.4
-103.82,19.27,COL,PNTCM,PEÒITAS,121.7
-103.73,19.22,COL,RDRCM,RADAR,110
-103.7,19.41,COL,SCHCM,SUCHITLAN,69.5
-103.88,18.93,COL,TCMCM,TECOMAN,141
-103.52,19.25,COL,TRJCM,TROJES,82.5
-103.66,19.28,COL,TRPCM,TRAPICHE,88.3
-99.21,19.22,DF,AJSDF,AJUSCO,88.2
-99.17,19.45,DF,CBIDF,"ESCUELA NACIONAL DE CIENCIAS BIOLOGICAS, IPN (AUTOMATICA)",52.8
-99.18,19.35,DF,CCUDF,CENTRO UNIVERSITARIO,31.9
-99,19.36,DF,CDMDF,CARCEL DE MUJERES,37.3
-99.11,19.41,DF,CDVDF,CIUDAD DEPORTIVA,32
-99.18,19.5,DF,CEADF,CAMPAMENTO AMEALCO,18
-99.21,19.16,DF,CFSDF,CASETA FORESTAL,0
-99.14,19.47,DF,CMTDF,CIEN METROS,6.4
-99.18,19.49,DF,CMYDF,CAMPO MECOAYA,51.9
-99.09,19.19,DF,CTNDF,CUAUTENCO,36.1
-99.09,19.48,DF,CYLDF,COYOL,5.8
-99.21,19.3,DF,DATDF,DESVIACION ALTA                     *,5
-99.13,19.43,DF,DDFDF,GOBIERNO DEL D. F.,45.7
-99.31,19.31,DF,DTLDF,DESIERTO DE LOS LEONES,42.7
-99.15,19.38,DF,DVLDF,DEL VALLE,56
-99.16,19.3,DF,EAZDF,ESTADIO AZTECA,86.1
-99.29,19.36,DF,EYQDF,EL YAQUI,0
-99.35,19.3,DF,EZCDF,EL ZARCO,58
-99.07,19.49,DF,GCNDF,KM. 6+250 (GRAN CANAL),6.7
-99.26,19.31,DF,HYTDF,HUAYATLA,11.6
-99.3,19.34,DF,LVNDF,LA VENTA,72
-99.28,19.22,DF,MAGDF,MONTE ALEGRE,100.4
-99.13,19.4,DF,MCRDF,M. CARRILLO,33.9
-99.03,19.19,DF,MLPDF,MILPA ALTA,15.6
-99.23,19.19,DF,MZTDF,P ABASOLO(MEZONTEPEC),113.9
-99.1,19.32,DF,OCSDF,OFICINA CAVM SUR,86.9
-99.1,19.38,DF,PBADF,P. B. ACULCO,32.1
-99.06,19.43,DF,PBCDF,P. B. CHURUBUSCO L(CH.LAGO),16.4
-99.12,19.49,DF,PBLDF,P. B. LINDAVISTA,26.5
-99.04,19.38,DF,PBODF,P. B. U. E. DE ORIENTE,18.6
-99.17,19.44,DF,PBTDF,P. B. TIZOC,79.9
-99.2,19.41,DF,PCHDF,PTA. CHAPULTEPEC,79.1
-99.1,19.46,DF,PGNDF,PLANTA GENERADORA 101,11
-99.08,19.34,DF,PLEDF,P. T. LA ESTRELLA,51.3
-99.07,19.42,DF,PLMDF,P. B. LOPEZ MATEOS,12.1
-99.13,19.37,DF,PMLDF,P. B. MUNICIPIO LIBRE,40.3
-99.09,19.25,DF,PNTDF,PLANTA NATIVITAS,83.6
-99.26,19.29,DF,PRMDF,P. T. RIO MAGDALENA,79.6
-99.15,19.51,DF,PRRDF,P. T. RIO REMEDIOS,14.2
-99.02,19.3,DF,PSCDF,P. T. SANTA CATARINA,30.5
-99.05,19.23,DF,PSLDF,PLANTA SAN LUIS,28.6
-99.16,19.47,DF,PSNDF,P. B. NUEVA SANTA MARIA,29.8
-99.17,19.26,DF,PSPDF,"P. SAN PEDRO MARTIR, DF",42
-99.19,19.51,DF,PTRDF,P. T. ROSARIO,93
-99.13,19.29,DF,PVCDF,P. B. VILLA COAPA,49.5
-99.14,19.33,DF,PXTDF,PLANTA XOTEPINGO,57.6
-99.19,19.3,DF,RBTDF,REBOMBEO BOSQUE TLALPAN(B TLALPAN),63.1
-99.17,19.4,DF,RCMDF,RADIO COMUNICACION,38.7
-99,19.17,DF,SANDF,SANTA ANA,13.4
-99.28,19.33,DF,SBADF,SAN BARTOLO AMEYALCO,45.2
-99.03,19.34,DF,SCMDF,SANTA CRUZ MEYEHUALCO,25.9
-99.12,19.58,DF,SGDDF,SIERRA GUADALUPE,0.5
-99.07,19.47,DF,SJADF,SAN JUAN DE ARAGON,9.9
-99.01,19.28,DF,SPPDF,SAN PEDRO TLAHUAC,51.4
-98.96,19.32,DF,SSCDF,S. ELEC. SANTA CATARINA(LA CALERA),24.2
-99.14,19.56,DF,TCMDF,TANQUE CHALMITA,12.7
-99.27,19.37,DF,TECDF,TANQUE EL CARTERO,0
-99.25,19.33,DF,TELDF,TANQUE EL LIENZO,35
-99.1,19.39,DF,TEZDF,"TEZONTLE, (AUTOMATICA)",28.7
-99.21,19.4,DF,TNGDF,TRIANGULO,34.9
-99.14,19.2,DF,TPJDF,TOPILEJO,41.4
-99.08,19.44,DF,TPNDF,TANQUE PEÒON,9.7
-99.21,19.36,DF,TRGDF,TARANGO,42.5
-99.25,19.32,DF,TSFDF,T. SAN FRANCISCO,46.2
-99.23,19.44,DF,TSJDF,T. SAN JOAQUIN,79.3
-99.26,19.36,DF,TSLDF,TRIF. SANTA LUCIA (SANTA FE),61.8
-98.97,19.21,DF,TTLDF,TETELCO,47.3
-99.21,19.51,DF,VDCDF,VASO DE CRISTO (SACM),45.2
-104.07,25.26,DGO,AM2DR,"AGUSTIN MELGAR, (AUTOMATICA)",9.3
-104.48,26.24,DGO,APRDR,AGUA PUERCA,86.7
-104.7,24,DGO,CAGDR,CAMPO AGRICOLA,58.8
-104.8,24.52,DGO,CB2DR,CABORACA (HIDRO),70
-104.8,24.52,DGO,CBRDR,P. CABORACA,70.1
-104.07,26.3,DGO,CEBDR,CEVALLOS,61.2
-104.12,24.44,DGO,CGVDR,CIUDAD GUADALUPE VICTORIA,64
-103.52,25.53,DGO,CLRDR,CIUDAD LERDO,24.1
-103.7,24.87,DGO,CNCDR,CUENCAME,37.8
-104.75,24.5,DGO,CNTDR,CANATLAN,63.4
-104.67,24.03,DGO,DRGDR,DURANGO,56
-103.96,24,DGO,FV2DR,FRANCISCO VILLA (HIDRO),40
-103.96,24,DGO,FVLDR,PRESA FRANCISCO VILLA,40.6
-103.78,25.27,DGO,FZRDR,PRESA FRANCISCO ZARCO,29.8
-105.25,25.5,DGO,GESDR,GENERAL ESCOBEDO,72
-105.96,25.93,DGO,GNCDR,GUANACEVI,86
-104.75,23.96,DGO,GVCDR,PRESA GUADALUPE VICTORIA,87.6
-104.75,23.96,DGO,GVHDR,GUADALUPE VICTORIA,87.5
-105,25.61,DGO,LCRDR,PRESA LAZARO CARDENAS,44.1
-103.28,25.06,DGO,LFLDR,LA FLOR,24.2
-103.31,24.63,DGO,LNRDR,PRESA LOS NARANJOS,5
-105.47,24.19,DGO,LVEDR,"LAS VEGAS, (AUTOMATICA)",61.7
-103.85,25.82,DGO,MPMDR,MAPIMI,22.5
-104.11,25.23,DGO,NZSDR,NAZAS,32
-104.66,24.24,DGO,PA2DR,PE—A DEL AGUILA (HIDRO),84.2
-104.66,24.24,DGO,PAGDR,PRESA PEÒA DEL AGUILA,84.4
-106.37,26.13,DGO,ROSDR,LA ROSILLA,67
-104.9,25.75,DGO,RPADR,RADAR PALMITO,29.5
