Lon,Lat,Clave,Edo,Est,Tmed
-105.68,26.92,PRRCH,CHIH,"Observatorio de Parral, Chih.",10.3
-101,27.42,PRSCL,COAH,"Progreso, Coah.",12.4
-101.29,20.87,PRSGJ,GTO,"La PurÌsima, Gto.",15.8
-98.36,21.3,PSNVC,VER,"PlatÛn S·nchez, Ver.",20.2
-113.55,31.35,PT2SO,SON,"Observatorio de Puerto PeÒasco, Son.",12
-96.48,15.67,PTAOX,OAX,"Observatorio de Puerto ¡ngel, Oax.",27.9
-110.31,28.47,PTASO,SON,"Punta de Agua 2, Son.",13.5
-102.14,22.2,PTOAG,AGS,"Puerto de la ConcepciÛn, Ags.",13.9
-112.12,30.7,PTQSO,SON,"Pitiquito, Son.",10.6
-102.44,22.24,PTRAG,AGS,"Derivadora PabellÛn, Ags.",12.4
-92.87,17.87,PUEBLONUEVO,TAB,"Pueblo Nuevo, Tab. SGT*",23.8
-98.94,21.85,PUJSL,SLP,"El Pujal, S.L.P.",19.6
-98.17,19.05,PUOPB,PUE,"Observatorio de Puebla, Pue.",14.9
-92.94,17.57,PUYTB,TAB,"Puyacatengo, Tab.",23.9
-99.38,20.44,PVAHD,HGO,"Vicente Aguirre, Hgo.",15.9
-95.82,17.83,PVCVC,VER,"Playa Vicente, Ver.",22.4
-106.09,28.66,QIJCH,CHIH,"Observatorio de Chihuahua, Chih.",9.3
-106.47,23.56,QLTSI,SIN,"Quelite, Sin.",20.2
-111.02,30.05,QRBSO,SON,"Querobabi, Son.",12.2
-98.5,16.66,QTZGR,GRO,"Quetzala, Gro.",26.8
-97.62,19.25,QUIPB,PUE,"Quimixtl·n, Pue.",12.8
-95.63,18.72,RALVC,VER,"Radar Alvarado, Ver.",22.6
-96.71,20.16,RAUVC,VER,"El Raudal, Ver.",19.8
-107.76,25.12,RAVSI,SIN,"EstaciÛn Rancho Viejo, Sin.",18.6
-110.57,29.71,RAYSO,SON,"RayÛn, Son.",12.9
-109.59,23.59,RBRBS,BCS,"La Ribera, B.C.S.",16.6
-104.1,18.94,RDRCM,COL,"Radar, Col.",26
-92.67,15.92,REFCP,CHIS,"Reforma, Chis.",22.8
-93.36,17.88,REFORMA,TAB,"Reforma, Tab. SGT*",23.1
-93.08,16.16,REVCP,CHIS,"RevoluciÛn Mexicana, Chis.",22.9
-99.03,22.84,RFRTP,TAMP,"RÌo FrÌo, Tamps.",19.2
-103.03,23.82,RGRZC,ZAC,"RÌo Grande, Zac.",11.5
-102.72,20.4,RIOZULA,JAL,"RÌo Zula, Jal. SGT*",15.7
-88.16,21.57,RLAYC,YUC,"RÌo Lagartos, Yuc.",23.3
-99.17,16.82,RMEGR,GRO,"RevoluciÛn Mexicana, Gro.",22.3
-95.92,17.73,RMLOX,OAX,"RÌo Manso Lalana, Oax.",22
-97.4,20.12,RNAPB,PUE,"Rancho Nuevo, Pue.",21.4
-96.55,19.35,RNCVC,VER,"Rinconada, Ver.",22.1
-99.33,18.77,RODMR,MOR,"El Rodeo, Mor.",21.7
-105.21,22.12,ROMNR,NAY,"Rosamorada, Nay.",21.9
-106.37,26.13,ROSDR,DGO,"La Rosilla, Dgo.",4.3
-98.89,21.42,RQTSL,SLP,"Requetemu, S.L.P.",18.8
-105.85,22.98,RSRSI,SIN,"Rosario, Sin.",21.5
-100,21.93,RVDSL,SLP,"Observatorio de RÌo Verde, S.L.P.",17.1
-98.29,26.08,RYATP,TAMP,"S-J-3-42 Reynosa, Tamps.",14.5
-98.88,26.17,RYNTP,TAMP,"S-J-2-9 Reynosa, Tamps.",14.4
-92.35,17.57,SAACP,CHIS,"Salto de Agua, Chis.",24
-105.44,25.22,SACDR,DGO,"SalomÈ Acosta, Dgo.",11.2
-98.91,19.53,SADMX,MEX,"San AndrÈs, MÈx.",13.4
-102.72,20.07,SAHMC,MICH,"Sahuayo, Mich.",15.5
-101.2,20.56,SALAMANCA,GTO,"Salamanca, Gto. SGT*",16.6
-101.02,25.38,SALCL,COAH,"Observatorio de Saltillo, Coah.",11.3
-92.33,17.56,SALTODEAGUA,CHIS,"Salto de Agua, Chis. SGT*",23.8
-100.89,20.21,SALVATIERRA,GTO,"Salvatierra, Gto. SGT*",15.6
-93.28,18,SAMARIA,TAB,"Samaria, Tab. SGT*",21.7
-93.28,18,SAMTB,TAB,"Samaria, Tab.",20.8
-105.33,26.43,SANANTONIO,DGO,"San Antonio, Dgo. SGT*",8.8
-110.06,23.8,SANBS,BCS,"San Antonio, B.C.S.",16.3
-110,24.08,SARBS,BCS,"El Sargento, B.C.S.",18.1
-101.85,21.35,SAUJL,JAL,"La Sauceda, Jal.",13.7
-93.38,17.42,SAYCP,CHIS,"Sayula, Chis.",22.3
-104.67,23.87,SB2DR,DGO,"Santiago Bayacora hidromÈtrica, Dgo.",11.2
-109.84,23.74,SBABS,BCS,"San Bartolo, B.C.S.",16.8
-104.93,23.82,SBBDR,DGO,"Santa B·rbara, Dgo.",5.2
-91.18,18.97,SBNCA,CAMP,"Sabancuy, Camp.",24.3
-101.12,27.85,SBNCL,COAH,"Sabinas, Coah.",14.9
-108.88,27.41,SBNSO,SON,"San Bernardo, Son.",17.6
-99.09,23.03,SBNTP,TAMP,"Sabinas, Tamps.",18
-97.81,20.89,SBTVC,VER,"Sombrerete, Ver.",19.3
-104.68,23.87,SBYDR,DGO,"Santiago Bayacora, Dgo.",11.1
-92.63,16.73,SCOCP,CHIS,"Observatorio de San CristÛbal, Chis.",14.7
-92.62,16.74,SCRCP,CHIS,"Puente Morelos, Chis.",13.3
-102.46,20.21,SCRMC,MICH,"San CristÛbal, Mich.",16.7
-95.2,16.18,SCROX,OAX,"Observatorio de Salina Cruz, Oax.",27.2
-98.22,19.11,SCRPB,PUE,"San CristÛbal Caleras, Pue.",14.2
-106.95,24.48,SCRSI,SIN,"Santa Cruz, Sin.",21.2
-98.87,22.78,SDATP,TAMP,"Saca de Agua, Tamps.",18.1
-93.06,16.45,SDOCP,CHIS,"Santo Domingo, Chis.",23
-104.05,23.62,SELDR,DGO,"Santa Elena, Dgo.",11.3
-101.22,21.48,SFEGJ,GTO,"San Felipe, Gto.",12.3
-99.26,19.36,SFESE,CDMX,"Santa Fe, Cd. de MÈx. SGIRPC*",13.2
-114.85,31.03,SFLBN,BC,"Observatorio de San Felipe, B.C.",14.1
-108.78,26.07,SFRSI,SIN,"Sufragio, Sin.",17.4
-96.53,17.88,SFUOX,OAX,"San Felipe Usila, Oax.",20.6
-105.56,26.44,SGBDR,DGO,"San Gabriel, Dgo.",10.1
-98.79,23.08,SGBTP,TAMP,"San Gabriel, Tamps.",17.4
-103.51,24.29,SGOZC,ZAC,"Santiago, Zac.",11.3
-95.18,18.45,SIHVC,VER,"Sihuap·n, Ver.",21.5
-99.08,19.47,SJADF,CDMX,"San Juan de AragÛn, Cd. de MÈx.",15.2
-98.2,19.56,SJATL,TLAX,"San JosÈ Atlanga, Tlax.",10.7
-100.47,17.14,SJEGR,GRO,"San JerÛnimo, Gro.",26.5
-95.13,17.88,SJEVC,VER,"San Juan Evangelista, Ver.",22.7
-101.02,20.4,SJLGJ,GTO,"Santa Julia, Gto.",15.9
-107.84,25.49,SJNSI,SIN,"San Juan, Sin.",18.3
-93.08,17.56,SJOCP,CHIS,"San JoaquÌn, Chis.",24.5
-106.13,24.44,SJRDR,DGO,"San JosÈ de los Reyes, Dgo.",12.8
-98.87,19.19,SLAMX,MEX,"San Luis Ameca, MÈx.",12.3
-99.19,18.92,SLDMR,MOR,"Solidaridad, Mor.",18.1
-101.2,20.57,SLMGJ,GTO,"Salamanca, Gto.",16.2
-98.21,23.76,SLMTP,TAMP,"Observatorio de Soto la Marina, Tamps.",18.4
-100.52,21.3,SLPGJ,GTO,"San Luis de la Paz, Gto.",14.1
-101.02,22.15,SLPSL,SLP,"Observatorio de San Luis PotosÌ, S.L.P.",17.6
-107.1,24.45,SLRSI,SIN,"San Lorenzo, Sin.",20.8
-100.67,20.06,SLSGJ,GTO,"SolÌs, Gto.",16.8
-106.7,24.12,SLTSI,SIN,"Ing. Aurelio Benassini VizcaÌno, Sin.",22.8
-100.89,20.22,SLVGJ,GTO,"Salvatierra, Gto.",15.8
-98.79,22.94,SLZTP,TAMP,"Lic. Emilio Portes Gil, Tamps.",18.4
-96.45,17.12,SMAOX,OAX,"San Antonio Cuajimoloyas, Oax.",9.2
-97.91,18.74,SMCPB,PUE,"San Miguel Canoa, Pue.",11
-100.95,29.03,SMGCL,COAH,"San Miguel, Coah.",11.3
-92.24,15.78,SMICP,CHIS,"San Miguel, Chis.",23.6
-103.7,27.29,SMJCL,COAH,"Sierra Mojada, Coah.",9
-105.37,25.95,SMODR,DGO,"Santa MarÌa del Oro, Dgo.",7.7
-100.75,20.58,SMOGJ,GTO,"San Miguel Octopan, Gto.",15.9
-107.16,24.81,SN2SI,SIN,"Sanalona hidromÈtrica, Sin.",18.4
-92.82,16.94,SNACP,CHIS,"Santa MarÌa, Chis.",22.3
-96.93,17.52,SNAOX,OAX,"Santiago Nacaltepec, Oax.",15.4
-99.48,16.8,SNMGR,GRO,"San Marcos, Gro.",24.5
-109.71,23.49,SNTBS,BCS,"Santiago, B.C.S.",15.5
-102.11,21.88,SNVAG,AGS,"Sandovales, Ags.",13.1
-103.64,23.64,SOMZC,ZAC,"Observatorio de Sombrerete, Zac.",11.6
-95.03,18.52,SONVC,VER,"Sontecomapan, Ver.",20.5
-102.98,25.76,SPECL,COAH,"San Pedro, Coah.",13.5
-98.18,19.11,SPMTL,TLAX,"San Pablo del Monte, Tlax.",15.3
-105.42,25.04,SPPDR,DGO,"Santiago Papasquiaro, Dgo.",10.2
-91.16,17.79,SPTTB,TAB,"San Pedro, Tab.",24.9
-115.94,30.53,SQNBN,BC,"San QuintÌn, B.C. SMN*",17.8
-106.25,23.35,SQRSI,SIN,"Siqueros, Sin.",20.6
-100.55,25.03,SRANL,NL,"San Rafael, N.L.",9.7
-112.27,27.34,SRLBS,BCS,"Observatorio de Santa RosalÌa, B.C.S.",16
-111.45,30.39,SRSSO,SON,"Santa Rosa 2, Son.",10.5
-101.07,20.3,SRTGJ,GTO,"Santa Rita, Gto.",16.5
-98.58,19.33,SRTPB,PUE,"Santa Rita Tlahuapan, Pue.",12
-103.5,22.33,STEZC,ZAC,"Independencia Nacional, Zac.",10.7
-101.02,25.38,STOCL,COAH,"Saltillo, Coah.",12.5
-103.11,22.92,STRZC,ZAC,"Santa Rosa, Zac.",8.2
-98.62,21.69,SVTSL,SLP,"San Vicente, S.L.P.",19.3
-96.49,19.34,TAMVC,VER,"Tamarindo, Ver.",22.6
-89.05,20.03,TANYC,YUC,"TantaquÌn, Yuc.",20.9
-92.26,14.91,TAPCP,CHIS,"Tapachula, Chis.",29.2
-92.78,17.46,TAPIJULAPA,TAB,"Tapijulapa, Tab. SGT*",20.9
-92.78,17.46,TAPTB,TAB,"Tapijulapa, Tab.",23.6
-100.75,20.28,TARGJ,GTO,"Tarimoro, Gto.",16.1
-99.61,18.55,TAXGR,GRO,"Taxco, Gro.",21.1
-102.86,22.12,TAYZC,ZAC,"Ing. Juli·n Adame Alatorre, Zac.",15.4
-98.86,21.25,TBLSL,SLP,"Tierra Blanca, S.L.P.",18.5
-96.35,18.45,TBLVC,VER,"Tierra Blanca, Ver.",23
-107.97,26.94,TBRSI,CHIH,"San Francisco, Chih.",18.8
-102.58,21.45,TCAJL,JAL,"Teocaltiche, Jal.",16.2
-103.88,23.47,TCHZC,ZAC,"Chalchihuites, Zac.",11.4
-103.87,18.91,TCMCM,COL,"Tecom·n, Col.",26.6
-99.53,17.17,TCOGR,GRO,"Tierra Colorada, Gro.",26
-96.97,19.38,TCOVC,VER,"Teocelo, Ver.",15.4
-106.54,24.7,TDRDR,DGO,"El Tule del Real, Dgo.",21.1
-97.79,20,TDRPB,PUE,"Tepango de RodrÌguez, Pue.",16.2
-92.97,17.57,TEATB,TAB,"Teapa, Tab.",23
-100.63,17.21,TECGR,GRO,"Tecpan, Gro.",28
-97.75,18.88,TECPB,PUE,"Tecamachalco, Pue.",15.5
-97.4,18.48,TEHPB,PUE,"Tehuac·n, Pue.",14.9
-98.78,18.45,TELPB,PUE,"Teotlalco, Pue.",21.9
-100.23,20,TEMASCALES,MICH,"Temascales, Mich. SGT*",10.8
-101.3,20.6,TEMGJ,GTO,"TemascatÌo, Gto.",17.4
-99.22,18.86,TEMMR,MOR,"Temixco, Mor.",22.4
-96.41,18.23,TEMOX,OAX,"Presidente Alem·n, Oax.",22.8
-97.81,19.83,TEOPB,PUE,"Tetela de Ocampo, Pue.",12.8
-99.96,19.66,TEPETITLAN,MEX,"Tepetitl·n, MÈx. SGT*",11.8
-100.23,20,TEPMC,MICH,"Tepuxtepec, Mich.",13.5
-104.89,21.49,TEPNR,NAY,"Observatorio de Tepic, Nay.",18.2
-99.08,18.95,TEPOZTLAN,MOR,"Tepoztl·n, Mor. SMN*",21.3
-100.23,20,TEPUXTEPEC,MICH,"Tepuxtepec, Mich. SGT*",13.3
-95.6,16.42,TEQOX,OAX,"Tequisistl·n, Oax.",24.5
-97.36,19.82,TEZPB,PUE,"Teziutl·n, Pue.",12.6
-103.46,21.47,TGOZC,ZAC,"Te˙l de Gonz·lez Ortega, Zac.",14.3
-102.78,24.56,TGRDR,DGO,"El Tigre, Dgo.",14.3
-100.78,20.52,TGRGJ,GTO,"Tres Guerras, Gto.",15.5
-103.44,26.11,THODR,DGO,"Tlahualilo, Dgo.",13.4
-99.1,18.79,TICMR,MOR,"Ticum·n, Mor.",24.6
